enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,56
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Begge kjønn,53
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Begge kjønn,52
Buøy skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,53
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Begge kjønn,54
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Begge kjønn,51
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,54
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,51
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Begge kjønn,47
