,index,enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
0,25,Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,52.0
1,67,Auglend skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
2,112,Auglend skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,50.0
3,310,Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,53.0
4,334,Buøy skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51.0
5,358,Buøy skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,51.0
6,443,Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,54.0
7,464,Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,52.0
8,485,Byfjord skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,51.0
9,572,Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,53.0
10,593,Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,52.0
11,614,Eiganes skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,52.0
12,722,Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,44.0
13,782,Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,48.0
14,845,Finnøy sentralskule,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,50.0
15,941,Fogn oppvekstsenter - Avdeling skule,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,
16,959,Fogn oppvekstsenter - Avdeling skule,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,
17,980,Fogn oppvekstsenter - Avdeling skule,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,
18,1065,Gausel skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,52.0
19,1086,Gausel skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,53.0
20,1107,Gausel skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,51.0
21,1407,Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,51.0
22,1428,Godeset skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,49.0
23,1449,Godeset skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,48.0
24,1641,Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,51.0
25,1662,Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,49.0
26,1683,Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,50.0
27,1880,Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,54.0
28,1901,Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,50.0
29,1922,Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,49.0
30,2004,Johannes læringssenter - Flerspråklige Barn,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,
31,2036,Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,48.0
32,2057,Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,49.0
33,2078,Jåtten skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,49.0
34,2168,Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,50.0
35,2189,Kampen skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,54.0
36,2210,Kampen skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,50.0
