enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,54
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,53
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,57
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,55
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,53
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,50
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,47
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,50
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,48
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,53
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,51
Auglend skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,52
Auglend skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,48
Auglend skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,50
Auglend skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,51
Auglend skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,54
Auglend skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,54
Auglend skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,51
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,50
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,53
Buøy skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,50
Buøy skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,52
Buøy skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,51
Buøy skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,56
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,53
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,51
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,50
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,56
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,57
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,54
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,54
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,52
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,52
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,48
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,50
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,52
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,53
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,52
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,53
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,52
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,49
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,52
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,55
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,56
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,54
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,53
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,54
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,56
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,54
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,51
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,54
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,56
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,51
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,55
