enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,48
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,50
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,48
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,53
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,45
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,47
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,45
Auglend skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,50
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,54
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,50
