enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,48
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,50
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,48
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,53
Auglend skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,45
Auglend skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,47
Auglend skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,45
Auglend skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,50
Auglend skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,55
Buøy skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,50
Buøy skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,54
Buøy skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,53
Buøy skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,49
Buøy skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,52
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,52
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,51
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,52
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,55
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,54
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,51
Byfjord skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,53
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,53
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,54
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,51
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,51
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,55
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,51
Byfjord skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,52
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,51
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,52
Byfjord skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,50
