Enhetsnavn;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2014-2015;Offentlig;Trinn 5;Begge kjønn;53;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2014-2015;Offentlig;Trinn 5;Jenter;52;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2014-2015;Offentlig;Trinn 5;Gutter;54;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2015-2016;Offentlig;Trinn 5;Begge kjønn;52;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2015-2016;Offentlig;Trinn 5;Jenter;51;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2015-2016;Offentlig;Trinn 5;Gutter;52;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk;2015-2016;Offentlig;Trinn 8;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk;2015-2016;Offentlig;Trinn 8;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2016-2017;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2016-2017;Offentlig;Trinn 5;Jenter;48;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Engelsk;2016-2017;Offentlig;Trinn 5;Gutter;53;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk;2016-2017;Offentlig;Trinn 8;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk;2016-2017;Offentlig;Trinn 8;Jenter;.;Skalapoeng
