enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Begge kjønn,53
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,54
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Begge kjønn,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,52
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Begge kjønn,50
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,48
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,53
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Begge kjønn,51
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,50
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Begge kjønn,54
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,57
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Begge kjønn,53
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,55
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Begge kjønn,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,53
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Begge kjønn,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,52
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,50
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Gutter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Begge kjønn,48
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,47
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Begge kjønn,50
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,50
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Gutter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Begge kjønn,48
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,48
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,48
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Begge kjønn,50
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Begge kjønn,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,53
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Begge kjønn,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,51
Auglend skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,51
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Begge kjønn,53
Auglend skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,53
Auglend skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,52
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Gutter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Begge kjønn,46
Auglend skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,45
Auglend skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,48
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Begge kjønn,50
Auglend skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,50
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Gutter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Begge kjønn,49
Auglend skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,47
Auglend skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,51
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Begge kjønn,49
Auglend skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,45
Auglend skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,54
Auglend skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Begge kjønn,52
Auglend skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,50
Auglend skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,54
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Gutter,
Auglend skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Begge kjønn,50
Auglend skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Auglend skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,51
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Begge kjønn,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Jenter,
Auglend skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Gutter,
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Begge kjønn,56
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,54
Auglend skole,Nasjonale prøver ungdomstrinn,Engelsk avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Gutter,57
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Begge kjønn,52
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,50
Auglend skole,Nasjonale prøver ungdomstrinn,Lesing avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Gutter,54
Auglend skole,Nasjonale prøver ungdomstrinn,Regning avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Begge kjønn,55
Auglend skole,Nasjonale prøver ungdomstrinn,Regning avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,53
Auglend skole,Nasjonale prøver ungdomstrinn,Regning avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Gutter,56
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2007-2008,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2007-2008,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2007-2008,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2008-2009,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2008-2009,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2008-2009,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2009-2010,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2009-2010,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2009-2010,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2010-2011,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2010-2011,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2010-2011,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2012-2013,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2012-2013,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2012-2013,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2013-2014,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2013-2014,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Engelsk,2013-2014,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2007-2008,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2007-2008,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2007-2008,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2008-2009,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2008-2009,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2008-2009,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2009-2010,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2009-2010,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2009-2010,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2010-2011,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2010-2011,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2010-2011,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2011-2012,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2011-2012,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2011-2012,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2012-2013,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2012-2013,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2012-2013,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2013-2014,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2013-2014,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Lesing,2013-2014,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2007-2008,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2007-2008,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2007-2008,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2008-2009,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2008-2009,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2008-2009,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2009-2010,Trinn 5,Begge kjønn,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2009-2010,Trinn 5,Jenter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2009-2010,Trinn 5,Gutter,
Auglend skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2010-2011,Trinn 5,Begge kjønn,
